tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,Individual Recognition in Schizophrenia using Deep Learning Methods with Random Forest and Voting Classifiers: Insights from Resting State EEG Streams,2018,"Chu, Qiu, Liu, Ling, Zhang & Wang",IEEE Transactions on Neural Systems and Rehabilitation Engineering,Yes,Journal,Big Data and AI Research Center of Shanghai Jiaotong University,China,7,,Classification of EEG signals,Clinical,Schizophrenia,Detection,New Approach,Using Random Forest and Voting Classifiers with a CNN for Individual Recognition in Schizophrenia,"Resting State, Eyes Open. (300s each)",Automatic feature extraction,,BrainCap (BrainVision),Raw EEG,Internal Recordings,Private,120 Subjects x 300 seconds,360000,600,120,64,1000,Offline,,"1) Occular Correction (with Brain Vision Analyzer's algos)
2) Re-Referenced to Common Average
3) Pass-Band Filter (IIR): 0.01 - 50Hz",Yes,Yes*,Yes,"1) Raw EEG
2) Freq Bands",Raw EEG,Divide by max,,N/M,"CNN, RNN, and MLP",CNN,"3 Conv Layers, ELU, 3 Dropout 0.5, 3 Max Pooling + Dropout 0.25, 3 FCs, 1 voting (RF, softmax or SVM)",N/M,Yes,Not clear,"CNN: 6
MLP: 4
RNN: 2",6,ELU,"Dropout (0.5, 0.25)",Yes,3,"High risk
Schizophrenia
Healthy","3 Classes
(replaced Softmax with Random Forrest)",N/M,Standard,Standard,N/M,N/M,N/M,N/M,N/M,N/M,No,N/M,Inter,Yes,Yes (no detail),"Train: 50%
Test: 50%",Accuracy,accuracy,NVIDIA GeForce GTX 750,,N/M,"FES: 96.7% 
CHR: 81.6%
HC: 99.2%","ANNV, RNNV, CNNV,
ANNV+mSVM, RNN+mSVM, CNN+mSVM, 
ANN+RF, RNN+RF, CNN+RF",DL,No,No,No,"""In conclusion, we have shown that CNNV-RF performs better than softmax and CNNV-mSVM on a well-known dataset (mnist) and resting state EEG streams used in this paper. Switching from softmax or mSVM to RF is incredibly simple and appears ro be helpful for classification problems.""",N/M,No,N/A,No,,Yannick Roy,Isabela Albuquerque,TBC,,Chu2017
,An EEG-based Image Annotation System,2018,"Parekh, Subramanian, Roy & Jawahar","National Conference on Computer Vision, Pattern Recognition, Image Processing, and Graphics",Yes,Conference,"IIIT Hyderabad, India
University of Glasgow, Singapore
National Brain Research Centre, Manesar, India",India,11,,Classification of EEG signals,BCI,Reactive,RSVP,Novel Approach: Image classification based on subject's P300,Using CNN (EEGNet) to classify images based on P300. RSVP with Oddball.,"RSVP. Images from Caltech101 and VOC 2012.
Oddball Paradigm for P300",Not mentioned why DL...,,EPOC (Emotiv),"RSVP
P300",Internal Recordings,Private,"5 subjects x 3 sessions x 2 (Test/Train) x 6 min
25 block of 100 image (2x test/train) x 100ms/image

(1s windows)",7500,125,5,14,128,,,"1) Baseline power removal using the 0.5 second pre-stimulus samples
2) Band-Pass filter: 0.1 - 45 Hz
3) ICA to remove artifacts 
(eye-blinks, and eye and muscle movements)",Yes,Yes,Yes,P300,Other,N/A,,Braindecode,"CNN
(EEGNet)",CNN,"They add a Outlier Removal ""Feature"".
They used a pre-trained VGG-16 on predicted target image.
(to reduce false-positive due to class imbalance)",see EEGNet & Braindecode,No,"1s Windows
(Raw EEG)",3,3,ELU,"N/M

(see Braindecode / EEGNet)",N/M,,,"2

Target / Non-Target",N/M,N/M,N/M,Adam,Adam,N/M,N/M,N/M,N/M,N/M,Categorical Cross-Entropy,Inter,5-Fold CV,k-fold,"Train: 2500 images / subject
Test: 2500 images / subject","F1-Score

(Due to a heavy class imbalance between T/non-T, we use F1-score)",f1-score,"NVIDIA GEFORCE
 GTX 1080 Ti",,N/M," [DS: CT101] Before outliers removal: F1: 0.71 Precision: 0.66 Recall: 0.81
 [DS: CT101] After outliers removal: F1: 0.68 Precision: 0.63 Recall: 0.72
 [DS: VOC2012] Before outliers removal: F1: 0.88 Precision: 0.99 Recall: 0.81
 [DS: VOC2012] After outliers removal: F1: 0.83 Precision: 0.97 Recall: 0.72",None,None,No,No,No,"Our annotation system exclusively relies on the P300 ERP signature, which is elicited upon the viewer detecting a pre-specified object class in the displayed image. A further outlier removal procedure based on binary feature-based clustering significantly improves annotation performance.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Parekh2018
,EEGNet: A Compact Convolutional Neural Network for EEG-based Brain-Computer Interfaces,2018,"Lawhern, Solon, Waytowich, Gordon, Hung & Lance",Journal of Neural Engineering,Yes,Journal,"U.S. Army Lab,DCS Corporation, Columbia University, Georgetown University Medical Center",USA,17,,Classification of EEG signals,BCI,Active & Reactive,MI & ERP,Novel Approach: DN that can be used for different BCI paradigms,Compare EEGNet with SOTA ML for different BCI Paradigms,"Visual P300 
ERN
Movement-related cortical potentials
Sensory Motor Rhythms",Allows robust feature extraction,,ActiveTwo (BioSemi),"1) P300 
2) ERN
3) Movement-related cortical potentials
4) SMR","Internal Recordings;
Kaggle: Inria BCI challenge;
Internal Recordings;
BCI Competition IV - IIa",Both,"P300: 15 subject x 2000 trials  [1s windows]
ERN:  26 subjects x 340 trials [1.25s windows]
MRCP: 13 subjects x 1100 trials [1.5s windows]
SMR: 9 subjects x 288 trials [3s windows]","30000;
8840;
14300;
2592","500;
184.2;
357.5;
129.6","15;
26;
13;
9","64;
56;
64;
22","512;
600;
1024;
250",Offline,,"1) Rereferencing (linked mastoids or earlobes)
2) Bandpass filter (1 - 40 Hz, 0.1-40 Hz or 4-40 Hz) 
3) Downsampled to 128 Hz
(** Different approaches! e.g. Used PREP Pipeline for #3)",Yes,No,No,Raw EEG,Raw EEG,Exponential moving average,,Keras + Tensorflow,CNN,CNN,"Layer 1: 1D spatial filters
Layer 2: Depthwise 2D Conv
Layer 3: Separable 2D Conv","Depthwise: Inspired in part by the Filter-Bank Common Spatial Pattern (FBCSP) algorithm. 
Separable: explicitly decoupling the relationship within and across feature maps by first learning a kernel summarizing each feature map individually, then optimally merging the outputs afterwards",Yes,Channels x Time,3,3,ELU,"Dropout, weight decay",Yes,"P300: 2
ERN: 2
MRCP: 2
SMR: 4","P300: Target/Non-target
ERN: Error/No error
MRCP: Left/Right hand
SMR: left hand/right hand/feet/tongue","(depends on the task)
(softmax)","1) 1,066 
2) 1,082 
3) 1,098 
4) 796   ","Within-Subject and Cross-Subject
If classes are umbalanced, we apply class-weight to the loss function whenever the data is imbalanced",Standard,Adam,Adam,N/M,N/M,N/M,N/M,N/M,"Categorical cross-entropy
+ Class weight if unbalanced",Both,"Intrasubject: 4-Fold CV

Intersubject: Leave some subjects out 
(different nb folds and ratio for each per task)","k-fold;
Leave-N-Subjects-Out","[Intra] Train: 50%
[Intra] Valid: 25%
[Intra] Test: 25%

[Inter] Different ratios of subjects for training, for validation and for test","Accuracy
ROC AUC","accuracy, ROC AUC",NVidia Quadro M6000,,N/M,"See paper for full breakdown. TLDR;
Doesn't outperform or underperform anything by a lot.","DeepConvNet (Schirrmeister, 2017)
ShallowConvNet (Schirrmeister, 2017)
Riemannian EEG (Barachant, 2015)
FBCSP",DL & Trad.,Repeated-measures ANOVA,"1) Summarizing averaged outputs of hidden unit activations. 
2) Visualizing the convolutional kernel weights. 
3) Calculating single-trial feature relevance on the classification decision
Also used DeepLIFT (Shrikumar 2017)","Analysis of activations, Analysis of weights, Ablation of filters, DeepLIFT","In this work we proposed EEGNet, a compact convolutional neural network for EEG-based BCIs that can generalize across different BCI paradigms in the presence of limited data and can produce interpretable features.
To the best of our knowledge, this represents the first work that has validated the use of a single network architecture across multiple BCI datasets, each with their own feature characteristics and data set sizes. Finally, through the use of feature visualization and ablation analysis, we show that neurophysiologically interpretable features can be extracted from the EEGNet model",N/M,Yes,GitHub,No,,Yannick Roy,Hubert Banville,TBC,,Lawhern2018
,A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series,2018,"Chambon, Galtier, Arnal, Wainrib & Gramfort",IEEE Transations on Neural Systems and Rehabilitation Engineering,Yes,Journal,"Telecom ParisTech, Inria, Université Paris-Saclay",France,12,,Classification of EEG signals,Clinical,Sleep,Staging,Improve State-of-the-Art,,Sleep,,,N/M,Sleep events,MASS,Public,"MASS (61 out of 62)
61 nights (8h) each from diff subjects
(30s windows, no overlap)",58560,29280,61,20,128,,,1) Low-pass @30Hz,Yes,N/M,N/M,Raw EEG + EOG and raw EMG,Raw EEG,z-score,,Keras + Tensorflow,ConvNet,CNN,3 conv layers + dense (per modality),"Layer 1: spatial filter
Layers 2, 3: temporal filters",Yes,Nb channels * 30 s,4,4,"Linear, ReLU, Softmax",25% (last layer),Yes,,,5,<10^5,"1) Training on a single 30-s epoch
2) Freezing net, and train last layer on multi-epochs",Pre-training,Adam,Adam,,,"Random searches with the
hyperopt Python packag",Yes,No,Categorical cross-entropy,Inter,"Leave-p-subject-out
5 random permutations",Leave-N-Subjects-Out,"Train: 41 records
Valid: 10 records
Test: 10 records","Balanced accuracy
F1-score, Precision, Sensitivity, Specificity, Confusion matrix","balanced accuracy, f1-score, precision, sensitivity, specificity, confusion matrix",N/M*,,~250 s,"Acc: ~80%
Bal. acc.: ~80%
Kappa: ~0.7
F1 score: ~0.71","Gradient boosting on time domain and freq. domain features
Univariatie ConvNets from Tsinalis et al. (2016) and Supratak et al. (2017)
",DL & Trad.,No,Occlusion sensitivity,Occlusion of input,"1D convolution provided a speed-up vs. 2D convolutions
Smaller number of parameters than other studies
Temporal context helps for some classes, but not for others; recurrent architectures could help
Size of dataset matters",,No,N/A,Yes,,Hubert Banville,TBR,TBC,,Chambon2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A convolutional neural network for steady state visual evoked potential classifcation under ambulatory environment,2017,"Kwak, Muller & Lee",PLOS One,No,Journal,"Korea University, TU Berlin",South Korea,,,Classification of EEG signals,BCI,Reactive,SSVEP,Improve SOTA,Improve robustness of SSVEP BCIs for exoskeleton control in ambulatory conditions,SSVEP,-,,MOVE (BrainVision),SSVEP,Internal Recordings,Private,"2 datasets (50x5s + 250x5s) x 7 subjects 
5s trial into 300 x 2s trials
(2s sliding window, 10ms shift size)",630000,175,7,8,1000,Offline,,"1) Notch filter @60Hz
2) Band pass from 4-40 Hz",Yes,No,No,120 FFT bins from 5-35 Hz,Frequency-domain,min-max,,N/M,"1,2) CNN
3) MLP",CNN,"1) CNN (3 layers) 
2) CNN (4 layers)
3) MLP (3 layers)","First conv layer: spatial filter
Second conv layer: spectral filter",Yes,"120 x 8
Freq x channels","1) 3
2) 4
3) 3",4,Sigmoid,N/M,N/M,5,"Walk Forward
Turn Left
Turn Right
Stand Up
Sit Down",5,N/M,Standard optimization,Standard,SGD,SGD,Learning rate: 0.1,N/M,N/M,N/M,"Sliding Window
(Shifted by [10-60ms] over 2s win)",N/M,Intra,10-Fold,k-fold,"Train: 90%
Test: 10%
Chronological split",Accuracy,accuracy,N/M,,N/M,"Static condition: up to 99.28%
Ambulatory condition: up to 94.03%","CCA, MSI, CCA + kNN",Traditional pipeline,Yes (not clear what method),Visualization of activations,Analysis of activations,"CNN-1 (3 layers) was the most robust.
Since architecture is pretty simple, no regularization is used.",Artefacts in ambulatory settings,No,N/A,No,,Hubert Banville,Yannick Roy,TBC,,kwak2017
,"Mental Tasks Classification using EEG signal, Discrete Wavelet Transform and Neural Network",2017,"Padmanabh, Shastri & Biradar",Discovery,No,Journal,Savitribai Phule Pune University,India,,,Classification of EEG signals,BCI,Active,Mental tasks,"[Classification of 5 different mental tasks, via Wavelet & ANNs (PNN & MLP)]",,"5 Mental Tasks (Baseline, Multiplication, Rotation, Counting, Letter composition)",,,7P511 (Grass Instruments),,Keirn & Aunon (1989),Public,"5 subjects x 5 tasks x 5 trials x 10s @250Hz
(1s windows)",1250,20.8,5,6,250,,,1) Band-Pass filter: 0.1-100Hz,Yes,N/M,N/M,,Frequency-domain,,,MATLAB & NNtool,"MLP
PNN",FC,,,No,200x1,"2
(20; 15)",2,,N/M,N/M,,,,,,Standard,N/M,N/M,Learning Rate: 0.9,,N/M,N/M,No,MSE,N/M,N/M,No,N/M,accuracy,accuracy,N/M,,N/M,"MLP: 92%
NPP: 100%",None,None,No,No,No,,,No,N/A,No,,Yannick Roy,TBR,TBC,,Padmanabh2017
,Cross-session classification of mental workload levels using EEG and an adaptive deep learning model,2017,Yin & Zhang,Biomedical Signal Processing and Control,No,Journal,"University of Shanghai for Science and Technology
East China University of Science and Technology",China,,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,New approach,,ACAMS (Automation-enhanced Cabin Air Management System),,,(Nihon Kohden),PSD,Internal Recordings,Private,"7 subjects x (5min + 6x15min + 5min) x 2 sessions
(2s windows, no overlap)",42000,1400,7,11,500,,,"1) Low-Pass filter: 40Hz
2) ICA for EOG artifacts",Yes,Yes,Yes,"PSD
Avg. Power:  T (5–7.5 Hz), A (8–13.5 Hz), B1 (14–20 Hz), 
B2 (20.5–30 Hz), G (30.5–40 Hz)",Frequency-domain,,,MATLAB,SDAE,AE,Adaptive Stacked Denoising AutoEncoder,,Yes,"55x1
EEG PSD Features",6,6,,N/M,N/M,,,2,N/M*,,Other,N/M,N/M,,,Grid search,Yes,"Gaussian noise
on Freq features",N/M*,Intra,N/M,No,"Train: 66%
Test: 33%","accuracy, confusion matrix, sensitivity, specificity","accuracy, confusion matrix, sensitivity, specificity",,,N/M*,"[Complicated ... read me again ...]
SDAE > State of the art.","ANN, NB, kNN, SVMlin, SVMrbf, BSV, SDAE",DL & Trad.,Wilcoxon sign-rank test,3D scatter plots of layer activations,Analysis of activations,It is evident that the proposed method is superior to those shallow and static classifiers when the comprehensive cortical information is adopted as the network inputs.,,No,N/A,No,,Yannick Roy,TBR,TBC,,Yin2017a
,Generative Adversarial Networks Conditioned by Brain Signals,2017,"Palazzo, Spampinato, Kavasidis, Giordano & Shah",ICCV,No,Conference,"University of Catania, University of Central Florida",Italy,9,,Generation of data,Generating images conditioned on EEG,,,New approach: generating images conditioned on EEG,Generating images using GANs conditioned by EEG representation,Visual presentation of images,Allows image generation,,BrainAmp (BrainVision),Raw EEG,Internal Recordings,Private,"6 Subjects x 50 images x 40 classes
1400s per subject (4 sessions of 350s)
2000 images x 6 subjects = 12000 
minus exclusions = 11,466 valid samples",11466,140,6,128,1000,,,"1) Hardware notch filter: 49-51 Hz
2) Band-pass filter: 14-70 Hz
3) Non-uniform quantization of the voltage values",Yes,N/M,N/M,Raw EEG,Raw EEG,N/M,,N/M*,"1) LSTM for EEG encoder 
2) DCGAN for image generation",Other,Conditional DCGAN (conditioning G and D),N/M,Yes,Nb channels * 0.5 s,"1) 2
2) 5 (generator), 6 (discriminator)",6,"1) ReLU
2) ReLU",N/M,N/M,,,"1) 40
2) 64 x 64",N/M,"1) Train encoder to predict image category from raw EEG
2a) Train GAN on images without EEG features
2b) Train GAN condtioned on average (across subs) EEG representation learned by the encoder",Other,Adam (lr=0.001),Adam,"1) N/M
2) Batch normalization","1) 16
2) N/M",N/M,N/M,"1) Nothing on EEG
2) Resizing + Flipping on Images","1) categorical cross-entropy. 
2) non-saturating ",Inter,"N/M;
[TBD]",No,"Train: 80%
Valid: 10%
Test: 10%","1) Accuracy
2) Inception score, Inception accuracy","accuracy, inception score, inception accuracy",2 Titan X Pascal,,N/M,"Encoder: 83.9%
GAN: IS: 4-6.5, acc: 43%",No,None,No,No,No,"Conditioning vector (i.e. EEG representations) are noisy, which makes harder to learn how an appropriate conditioning vector. 
 ","Suffers from classes with high internal variability
Dataset is small",No,N/A,No,,Isabela Albuquerque,Hubert Banville,TBC,,Palazzo2017
,The effects of pre-filtering and individualizing components for electroencephalography neural network classification,2017,Major & Conrad,IEEE SoutheastCon,No,Conference,University of North Carolina (Charlotte),USA,6,,Classification of EEG signals,BCI,Active,Motor imagery,Improve State-of-the-Art: Exploring impact of ICA preprocessing,Analyze effectiveness of using ICA to enhance EEG that will be processed by a neural network,Motor imagery,"""Since every brain computer interface (BCI) has to be tailored for each person it is advantageous to use a neural network""",,N/M,Raw EEG,eegmmidb,Public,"109 subjects x 14 experiments (12x2min + 2x1min)
Not clear how many samples they used...
(??s windows)",N/M,2834,109,64,160,Offline,,1) Band pass filter: 8-30Hz,Yes,Yes,Yes,Raw EEG,Raw EEG,N/M,,Matlab,MLP,FC,N/M,N/M,Yes,16x ?,10,10,N/M,N/M,N/M,2,"Left Grasp
Right Grasp",2,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Inter,No,No,"Train: 2/3
Test: 1/3",Accuracy,accuracy,N/M,,N/M,"With ICA: 68%
Without ICA: 56%",No,None,No,No,No,Applying ICA to raw data improves the neural network performance.,N/M,No,N/A,No,,Isabela Albuquerque,Yannick Roy,TBC,,Major2017
,Convolutional neural network-based transfer learning and knowledge distillation using multi-subject data in motor imagery BCI,2017,Sakhavi & Guan,IEEE Conference on Neural Engineering,No,Conference,NUS & NTU,Singapore,4,,Classification of EEG signals,BCI,Active,Motor imagery,Transfer learning (from one subject to another),Reduce calibration time in a BCI using transfer learning,Motor imagery,Reduce BCI's calibration time,,N/M,Raw EEG,BCI Competition IV - IIa,Public,"BCI competition IV-2a dataset (4 out of 9 subjects)
x 4 classes x 72 samples x 2 session x 4 seconds.
After removing data: ∼ 1000 per class per session
(4s windows, no overlap)",8000,153.6,9,22,250,,,"1) Bandpass between 0.5-100 Hz
2) Notch filter @50 Hz",Yes,N/M,N/M,"FBCSP in 9 frequency bands, then extracting envelope",Frequency-domain,weird z-scoring,,Torch7,CNN + MLP,CNN,"CNN: 5 layers 
MLP: 1 layer",-,Yes,"CNN: 32x40
MLP: 32","CNN: 4 conv, 1 FC
MLP: 1 FC",5,ReLU,N/M,N/M,,,"CNN: 128
MLP: 128",N/M,"1) Pre-train CNN+MLP on N-1 subjects
2) Fine-tune pre-trained network on 1 subject",Pre-training,Adam,Adam,N/M,N/M,N/M,N/M,N/M,KL divergence,Inter,Leave-N-Samples-Out,Leave-N-Samples-Out,"Train: 5, 10, 20 samples / class
Test: Remaining",Test set accuracy,accuracy,N/M,,N/M,Average acc: 69.71%,SVM,Traditional pipeline,Wilcoxon sign-rank test,No,No,"Best results (average across subjects) show significant improvement with respect to SVM. However, there is high variability  ",Choosing hyperparameter lambda,No,N/A,No,,Hubert Banville,Isabela Albuquerque,TBC,,Sakhavi2017
